,ID,formula,smiles,HOMO_LUMO_gap
103,ACEPIK01,C40 H24 N2 O6,O=C1N(C(=O)c2cc(ccc12)c1ccc2C(=O)N(C(=O)c2c1)c1ccc(Oc2ccccc2)cc1)c1ccc(Oc2ccccc2)cc1,5.85752275
104,ACEQOR,C18 H10 Cl2 N2 O2,Clc1ccc(cc1)C1=C2NC(=O)C(=C2NC1=O)c1ccc(Cl)cc1,5.787317379999999
105,ACETOS,C17 H13 N1 O1,Oc1ccc(C=Cc2ccccc2)c2cccnc12,5.5998309299999995
106,ACETUZ,C40 H25 N4 O1 P1,O=P1(c2ccccc2)C(=C2c3cccc4cccc(c34)C2=C1c1cccc(n1)c1ccccn1)c1cccc(n1)c1ccccn1,4.848252479999999
107,ACEVAH,C44 H29 O1 P1,O=P1(c2ccccc2)C(=C2c3cccc4cccc(c34)C2=C1c1ccc(cc1)c1ccccc1)c1ccc(cc1)c1ccccc1,5.34676505
108,ACEVUA,C15 H13 Cl1 N2 O2 S1,COc1ccc(cc1)C(=O)NC(=S)Nc1ccccc1Cl,6.21562457
109,ACEWAH,C20 H15 N1 O1,COc1ccccc1N=C1c2ccccc2c2ccccc12,5.95031357
110,ACEZEP,C35 H49 Br1 N6 O8,COC(=O)C1CCCN1C(=O)C(C)(C)NC(=O)C1CCCN1C(=O)C(C)(C)NC(=O)C1CCCN1C(=O)C(C)(C)NC(=O)c1ccc(Br)cc1,5.72337062
111,ACEZIS,C15 H13 Br1 N2 O2 S1,COc1ccc(cc1)C(=O)NC(=S)Nc1ccccc1Br,6.19412758
112,ACICAR01,C18 H14 N4,c1cncc(c1)C=Nc1ccc(cc1)N=Cc1cccnc1,5.976164389999999
113,ACICEU,C23 H18 O3,CCCOC12C(=O)C=Cc3cccc(Oc4ccc5ccccc5c14)c23,5.9584769799999995
114,ACICEW,C22 H15 Cl1 N2 O3,OC12N(N=C(c3ccc(Cl)cc3)C1(O)C(=O)c1ccccc21)c1ccccc1,5.56363979
115,ACIFOH,C21 H16 N2 O1,COc1ccc(cc1)C=NN=C1c2ccccc2c2ccccc12,5.82813445
116,ACIGRA,C30 H27 I1 O14,CC1OC2CC(=O)OC2C2=C1C(=O)c1c(OC(C)=O)c3c(C4CC(OC(=O)CI)C3(OC(C)=O)C(C)O4)c(OC(C)=O)c1C2=O,6.042832280000001
117,ACIJEC,C6 H11 N1 O2,[NH3+]C(CCC(=O)[O-])C=C,5.1320672200000015
118,ACIJIF,C26 H20 P2,c1ccc(cc1)[P+](c1ccccc1)(c1ccccc1)c1[p-]cc2ccccc12,5.15492478
119,ACIJOL,C38 H29 P3,c1ccc(cc1)P(c1ccccc1)c1[p-]c(c2ccccc12)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,5.04226965
120,ACIKAY,C38 H29 P3 S1,S=P(c1ccccc1)(c1ccccc1)c1[p-]c(c2ccccc12)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,5.1913880400000005
121,ACILEF,C10 H13 N3 S2,CSC(=S)NN=C(C)c1ccccc1N,6.043920740000001
123,ACIVIS,C26 H23 O1 P1,COc1ccccc1C=P(c1ccccc1)(c1ccccc1)c1ccccc1,5.09560396
124,ACIWOZ,C20 H18 N4 S2,S=C(Nc1ccccc1)Nc1ccccc1NC(=S)Nc1ccccc1,6.20991018
125,ACIXAN,C24 H19 Cl1 N2 O4,COc1ccc(cc1)C1=CC(=CN2C(=O)C(=C(COC(C)=O)N=C12)c1ccccc1)Cl,5.71602354
126,ACIXAO,C23 H25 N1 O2 S1,CC(C)(C)S(=O)NC=C1C(CC(=CC1=O)c1ccccc1)c1ccccc1,6.04827456
